,description,size,specificity,phi_UB,AUC_UB,sensitivity,tn,F1,sensitivity_UB,specificity_UB,ConfusionMatrix,phi,precision,AUC,pp,sensitivity_LB,tp,specificity_LB,AUC_LB,p,fp,recall,pn,phi_LB,n,fn,mean_area,mean_compactness,mean_concave_points,mean_concavity,mean_fractal_dimension,mean_perimeter,mean_radius,mean_smoothness,mean_symmetry,mean_texture
33,mean_radius:q60-80,114,0.851063829787234,0.8731332463857553,0.9486433686828322,0.9253731343283582,40,0.9117647058823529,0.9753252934004099,0.9379558818776754,True,0.7819189363040937,0.8985507246376812,0.8882184820577961,69,0.8343738337951662,62,0.7169424657566865,0.8277935954327602,67,7,0.9253731343283582,45,0.6664422093230102,47,5,,,,,,,q60-80,,,
34,mean_radius:q00-20,114,1.0,1.0,1.0,0.5,112,0.6666666666666666,0.987420882906321,1.0,True,0.7039710372159766,1.0,0.75,1,0.01257911709367899,1,0.9676000740686317,0.2600090038649865,2,0,0.5,113,0.0,112,1,,,,,,,q00-20,,,
35,mean_smoothness:q80-100,114,0.9772727272727273,0.9698585539569703,0.9998726309243431,0.9571428571428572,43,0.9710144927536232,0.9910730959223393,0.9994247607865843,True,0.9272184381000531,0.9852941176470589,0.9672077922077924,68,0.8798213946734135,67,0.8797584177935348,0.934542953491242,70,1,0.9571428571428572,46,0.8699207683478055,44,3,,,,,,,,q80-100,,
36,mean_smoothness:q20-40,114,1.0,1.0,1.0,0.9333333333333333,84,0.9655172413793104,0.9918218655393437,1.0,True,0.9547920752586629,1.0,0.9666666666666667,28,0.7792645984770379,28,0.9570350803704328,0.9212733563211201,30,0,0.9333333333333333,86,0.9065138639279101,84,2,,,,,,,,q20-40,,
37,mean_smoothness:q60-80,113,0.9661016949152542,0.9694190744259257,0.9939125212298976,0.9444444444444444,57,0.9532710280373832,0.9883932256200587,0.9958680670276936,True,0.9114047403419421,0.9622641509433962,0.9552730696798493,53,0.8461149662083893,51,0.8828515361116497,0.9166336181298012,54,2,0.9444444444444444,60,0.8571199241670232,59,3,,,,,,,,q60-80,,
38,mean_smoothness:q40-60,113,0.9558823529411765,0.9491643717481034,0.9822014486065007,0.9111111111111111,65,0.9213483146067416,0.9752470422163388,0.9908078047972123,True,0.8704135698917796,0.9318181818181818,0.9334967320261438,44,0.7877882630456481,41,0.8764373756682212,0.8847920154457867,45,3,0.9111111111111111,69,0.7675456371837209,68,4,,,,,,,,q40-60,,
39,mean_smoothness:q00-20,114,0.9702970297029703,0.9412217448557152,1.0,0.8461538461538461,98,0.8148148148148148,0.9807933280174715,0.9938321404564355,True,0.7906757231808152,0.7857142857142857,0.9082254379284083,14,0.5455289443234423,11,0.9156431017238734,0.8048090880664316,13,3,0.8461538461538461,100,0.6377721296224685,101,2,,,,,,,,q00-20,,
40,mean_symmetry:q80-100,113,0.9772727272727273,0.9871811843850268,1.0,0.9710144927536232,43,0.9781021897810219,0.9964702406178715,0.9994247607865843,True,0.9445611261660134,0.9852941176470589,0.9741436100131752,68,0.8991846195179105,67,0.8797584177935348,0.9442512500257003,69,1,0.9710144927536232,45,0.9077787992209431,44,2,,,,,,,,,q80-100,
41,mean_symmetry:q40-60,115,0.9393939393939394,0.9440894375443969,0.9772657692967223,0.9183673469387755,62,0.9183673469387755,0.9773091193569283,0.983241777301832,True,0.8577612863327149,0.9183673469387755,0.9288806431663575,49,0.803985816521109,45,0.8520324360540014,0.8804955170359928,49,4,0.9183673469387755,66,0.7819544280816052,66,4,,,,,,,,,q40-60,
42,mean_symmetry:q00-20,114,0.978494623655914,0.973767496317728,1.0,0.9047619047619048,91,0.9047619047619048,0.9882506821155497,0.9973849053028965,True,0.8832565284178188,0.9047619047619048,0.9416282642089093,21,0.6962255930860888,19,0.9244670279474918,0.8756185136562226,21,2,0.9047619047619048,93,0.7899559587524506,93,2,,,,,,,,,q00-20,
43,mean_symmetry:q60-80,114,0.984375,0.9873903424387503,0.9987916447691848,0.94,63,0.9591836734693877,0.9874514121646659,0.9996044874858036,True,0.9290318304802342,0.9791666666666666,0.9621875,48,0.8345180533962271,47,0.9159896735656419,0.9255833552308151,50,1,0.94,66,0.8712057871752483,64,3,,,,,,,,,q60-80,
44,mean_symmetry:q20-40,112,0.9888888888888889,0.9697431568582012,1.0,0.8636363636363636,89,0.9047619047619048,0.9709441488712534,0.9997187305863082,True,0.8843637562697837,0.95,0.9262626262626263,20,0.6508779027425919,19,0.9396425194252669,0.852071548479076,22,1,0.8636363636363636,92,0.7702650155456101,90,3,,,,,,,,,q20-40,
45,mean_texture:q00-20,114,0.9528301886792453,0.8909269833545715,0.9966902066980332,1.0,101,0.761904761904762,1.0,0.9845089596051937,True,0.7657395374324273,0.6153846153846154,0.9764150943396227,13,0.6305833524471808,8,0.8933485490941965,0.956139981981212,8,5,1.0,101,0.6218244433754312,106,0,,,,,,,,,,q00-20
46,mean_texture:q20-40,114,0.989010989010989,0.9568903623120482,1.0,0.8695652173913043,90,0.909090909090909,0.9722484925772068,0.9997218210290453,True,0.8888169769344546,0.9523809523809523,0.9292881032011466,21,0.6641108624628791,20,0.9402891871836684,0.8581041420864317,23,1,0.8695652173913043,93,0.7674776282440541,91,3,,,,,,,,,,q20-40
47,mean_texture:q60-80,113,1.0,0.9871369016543029,0.9988380965576961,0.9436619718309859,42,0.9710144927536231,0.9844383649590736,1.0,True,0.9282264858659627,1.0,0.971830985915493,67,0.8619885567791783,67,0.9159161450596448,0.9448238752732901,71,0,0.9436619718309859,46,0.8721499430480131,42,4,,,,,,,,,,q60-80
48,mean_texture:q80-100,114,1.0,0.9617143353356185,0.9906247548802458,0.9178082191780822,41,0.9571428571428571,0.9692384699255862,1.0,True,0.8947855678733856,1.0,0.9589041095890412,67,0.829638920771308,67,0.9139561637059667,0.9271834642978367,73,0,0.9178082191780822,47,0.8406353815851603,41,6,,,,,,,,,,q80-100
49,mean_texture:q40-60,113,0.961038961038961,0.9666481794015932,1.0,0.9722222222222222,74,0.9459459459459458,0.9992969747940645,0.9918920827329817,True,0.9204016440390101,0.9210526315789473,0.9666305916305916,38,0.8547107352531463,35,0.8903346333254707,0.9317856923663812,36,3,0.9722222222222222,75,0.847818407939387,77,1,,,,,,,,,,q40-60
